Evaluation criteria,Home,Away
Shots,,
Total shots,11,14
Shots off target,6,7
Shots on target,2,4
Blocked shots,3,3
Hit woodwork,0,1
Shots inside box,6,11
Shots outside box,5,3
Expected goals (xG),,
Expected goals (xG),0.68,2.11
xG first half,0.19,0.43
xG second half,0.49,1.68
xG open play,0.59,2.00
xG set play,0.09,0.11
xG on target (xGOT),0.39,1.35
Passes,,
Passes,348,579
Accurate passes,277 (80%),517 (89%)
Own half,145,207
Opposition half,132,310
Accurate long balls,16 (40%),27 (60%)
Accurate crosses,1 (7%),5 (22%)
Throws,18,12
Discipline,,
Yellow cards,3,2
Red cards,0,0
Defence,,
Tackles won,9 (53%),5 (50%)
Interceptions,6,7
Blocks,4,3
Clearances,23,8
Keeper saves,1,2
Duels,,
Duels won,52,33
Ground duels won,32 (57%),24 (43%)
Aerial duels won,20 (69%),9 (31%)
Successful dribbles,9 (64%),9 (45%)
