x,y
92.0999984741211,32.780001163482666
92.80000305175781,42.292812941074374
15,37.69599981689453
93.5,31.63625116348266
95.5438581755607,42.292812941074374
22.17718102866887,37.507498836517335
7.912283647178597,38.11619111923244
90.69999694824219,34
86.67500327575178,37.27874941825867
29.04709081373113,40.049285714999996
93,30.231999908447264
20.48786064066887,46.5230573213
21.61407423266887,24.139362527556433
14.800003051757812,43.86063479972574
68.06941404226887,66.3601895725
92.4000015258789,44.911592886943566
95.06140203506071,34.53375058174134
97.9561388780607,28.034760621535114
92.0999984741211,30.231999908447264
96.50877045656071,22.247642246912868
98.8245614033,46.5230573213
11.599998474121094,44.0708280208
94.5789458945607,34.38125
100.16379455075413,28.959286354232447
89.30000305175781,37.05
97.47368273756071,18.884588127774265
74.82669559426887,30.316000000000003
97.2807032260393,33.54250116348266
87.53382189112412,43.160000529443565
93.5999984741211,40.55357014653511
88.07058659712412,20.215794043125733
6.001,6
6.001,6
6.001,6
6.001,6
7.236840633460702,34.60999941825867
12.5,12.5
12.5,12.5
1.7060185185185193,0.4540740751851852
